,Instrument,CF_DATE,EXPIR_DATE,PUTCALLIND,STRIKE_PRC,CF_CLOSE,IMP_VOLT
0,.GDAXI,2018-04-27,,,,12500.47,
1,GDAX105000G8.EX,2018-04-27,2018-07-20,CALL,10500.0,2040.8,23.59
2,GDAX105000S8.EX,2018-04-27,2018-07-20,PUT ,10500.0,32.0,23.59
3,GDAX108000G8.EX,2018-04-27,2018-07-20,CALL,10800.0,1752.4,22.02
4,GDAX108000S8.EX,2018-04-26,2018-07-20,PUT ,10800.0,43.8,22.02
5,GDAX110000G8.EX,2018-04-27,2018-07-20,CALL,11000.0,1562.8,21.0
6,GDAX110000S8.EX,2018-04-27,2018-07-20,PUT ,11000.0,54.5,21.0
7,GDAX111500G8.EX,2018-04-27,2018-07-20,CALL,11150.0,1422.5,20.24
8,GDAX111500S8.EX,2018-04-27,2018-07-20,PUT ,11150.0,64.3,20.25
9,GDAX112000G8.EX,2018-04-27,2018-07-20,CALL,11200.0,1376.1,19.99
10,GDAX112000S8.EX,2018-04-26,2018-07-20,PUT ,11200.0,67.9,20.0
11,GDAX112500G8.EX,2018-04-27,2018-07-20,CALL,11250.0,1330.2,19.75
12,GDAX112500S8.EX,2018-04-27,2018-07-20,PUT ,11250.0,72.0,19.76
13,GDAX113000G8.EX,2018-04-27,2018-07-20,CALL,11300.0,1284.2,19.51
14,GDAX113000S8.EX,2018-04-27,2018-07-20,PUT ,11300.0,76.2,19.51
15,GDAX113500G8.EX,2018-04-27,2018-07-20,CALL,11350.0,1238.8,19.27
16,GDAX113500S8.EX,2018-04-26,2018-07-20,PUT ,11350.0,80.7,19.27
17,GDAX114000G8.EX,2018-04-25,2018-07-20,CALL,11400.0,1193.4,19.03
18,GDAX114000S8.EX,2018-04-27,2018-07-20,PUT ,11400.0,85.5,19.05
19,GDAX114500G8.EX,2018-04-27,2018-07-20,CALL,11450.0,1148.5,18.8
20,GDAX114500S8.EX,2018-04-27,2018-07-20,PUT ,11450.0,90.5,18.8
21,GDAX115000G8.EX,2018-04-27,2018-07-20,CALL,11500.0,1103.8,18.56
22,GDAX115000S8.EX,2018-04-27,2018-07-20,PUT ,11500.0,96.0,18.57
23,GDAX115500G8.EX,2018-04-27,2018-07-20,CALL,11550.0,1059.6,18.33
24,GDAX115500S8.EX,2018-04-27,2018-07-20,PUT ,11550.0,101.7,18.34
25,GDAX116000G8.EX,2018-04-25,2018-07-20,CALL,11600.0,1015.7,18.1
26,GDAX116000S8.EX,2018-04-26,2018-07-20,PUT ,11600.0,108.1,18.11
27,GDAX116500G8.EX,2018-04-27,2018-07-20,CALL,11650.0,972.2,17.87
28,GDAX116500S8.EX,2018-04-24,2018-07-20,PUT ,11650.0,114.6,17.87
29,GDAX117000G8.EX,2018-04-27,2018-07-20,CALL,11700.0,929.1,17.63
30,GDAX117000S8.EX,2018-04-27,2018-07-20,PUT ,11700.0,121.5,17.64
31,GDAX117500G8.EX,2018-04-27,2018-07-20,CALL,11750.0,886.6,17.39
32,GDAX117500S8.EX,2018-04-27,2018-07-20,PUT ,11750.0,129.1,17.4
33,GDAX118000G8.EX,2018-04-27,2018-07-20,CALL,11800.0,844.4,17.16
34,GDAX118000S8.EX,2018-04-27,2018-07-20,PUT ,11800.0,136.9,17.17
35,GDAX118500G8.EX,2018-04-27,2018-07-20,CALL,11850.0,803.0,16.93
36,GDAX118500S8.EX,2018-04-26,2018-07-20,PUT ,11850.0,145.5,16.94
37,GDAX119000G8.EX,2018-04-27,2018-07-20,CALL,11900.0,761.9,16.69
38,GDAX119000S8.EX,2018-04-25,2018-07-20,PUT ,11900.0,154.5,16.7
39,GDAX119500G8.EX,2018-04-27,2018-07-20,CALL,11950.0,721.5,16.46
40,GDAX119500S8.EX,2018-04-27,2018-07-20,PUT ,11950.0,164.2,16.47
41,GDAX120000G8.EX,2018-04-27,2018-07-20,CALL,12000.0,681.7,16.24
42,GDAX120000S8.EX,2018-04-27,2018-07-20,PUT ,12000.0,174.6,16.24
43,GDAX120500G8.EX,2018-04-27,2018-07-20,CALL,12050.0,642.6,15.99
44,GDAX120500S8.EX,2018-04-26,2018-07-20,PUT ,12050.0,185.4,16.0
45,GDAX121000G8.EX,2018-04-27,2018-07-20,CALL,12100.0,604.4,15.75
46,GDAX121000S8.EX,2018-04-26,2018-07-20,PUT ,12100.0,197.3,15.77
47,GDAX121500G8.EX,2018-04-25,2018-07-20,CALL,12150.0,567.1,15.52
48,GDAX121500S8.EX,2018-04-27,2018-07-20,PUT ,12150.0,209.8,15.53
49,GDAX122000G8.EX,2018-04-25,2018-07-20,CALL,12200.0,530.4,15.29
50,GDAX122000S8.EX,2018-04-27,2018-07-20,PUT ,12200.0,223.3,15.29
51,GDAX122500G8.EX,2018-04-27,2018-07-20,CALL,12250.0,494.8,15.06
52,GDAX122500S8.EX,2018-04-26,2018-07-20,PUT ,12250.0,237.8,15.07
53,GDAX123000G8.EX,2018-04-27,2018-07-20,CALL,12300.0,460.3,14.84
54,GDAX123000S8.EX,2018-04-25,2018-07-20,PUT ,12300.0,253.1,14.85
55,GDAX123500G8.EX,2018-04-27,2018-07-20,CALL,12350.0,426.8,14.61
56,GDAX123500S8.EX,2018-04-26,2018-07-20,PUT ,12350.0,269.6,14.62
57,GDAX124000G8.EX,2018-04-25,2018-07-20,CALL,12400.0,394.4,14.4
58,GDAX124000S8.EX,2018-04-27,2018-07-20,PUT ,12400.0,287.3,14.41
59,GDAX124500G8.EX,2018-04-27,2018-07-20,CALL,12450.0,363.3,14.18
60,GDAX124500S8.EX,2018-04-27,2018-07-20,PUT ,12450.0,306.5,14.19
61,GDAX125000G8.EX,2018-04-27,2018-07-20,CALL,12500.0,333.3,13.97
62,GDAX125000S8.EX,2018-04-27,2018-07-20,PUT ,12500.0,326.5,13.98
63,GDAX125500G8.EX,2018-04-27,2018-07-20,CALL,12550.0,304.8,13.75
64,GDAX125500S8.EX,2018-04-27,2018-07-20,PUT ,12550.0,348.1,13.78
65,GDAX126000G8.EX,2018-04-27,2018-07-20,CALL,12600.0,277.5,13.55
66,GDAX126000S8.EX,2018-04-27,2018-07-20,PUT ,12600.0,370.9,13.55
67,GDAX126500G8.EX,2018-04-27,2018-07-20,CALL,12650.0,251.7,13.33
68,GDAX126500S8.EX,2018-04-24,2018-07-20,PUT ,12650.0,395.1,13.34
69,GDAX127000G8.EX,2018-04-26,2018-07-20,CALL,12700.0,227.3,13.12
70,GDAX127000S8.EX,2018-04-27,2018-07-20,PUT ,12700.0,420.7,13.13
71,GDAX127500G8.EX,2018-04-27,2018-07-20,CALL,12750.0,204.1,12.91
72,GDAX127500S8.EX,2018-04-27,2018-07-20,PUT ,12750.0,447.6,12.92
73,GDAX128000G8.EX,2018-04-27,2018-07-20,CALL,12800.0,182.4,12.7
74,GDAX128000S8.EX,2018-04-27,2018-07-20,PUT ,12800.0,476.0,12.71
75,GDAX128500G8.EX,2018-04-27,2018-07-20,CALL,12850.0,162.0,12.52
76,GDAX128500S8.EX,2018-04-27,2018-07-20,PUT ,12850.0,505.6,12.53
77,GDAX129000G8.EX,2018-04-25,2018-07-20,CALL,12900.0,142.9,12.36
78,GDAX129000S8.EX,2018-04-23,2018-07-20,PUT ,12900.0,536.8,12.37
79,GDAX129500G8.EX,2018-04-27,2018-07-20,CALL,12950.0,125.4,12.21
80,GDAX129500S8.EX,2018-04-27,2018-07-20,PUT ,12950.0,569.1,12.22
81,GDAX130000G8.EX,2018-04-27,2018-07-20,CALL,13000.0,109.4,12.06
82,GDAX130000S8.EX,2018-04-27,2018-07-20,PUT ,13000.0,602.9,12.07
83,GDAX130500G8.EX,2018-04-27,2018-07-20,CALL,13050.0,94.8,11.92
84,GDAX130500S8.EX,2018-04-23,2018-07-20,PUT ,13050.0,638.6,11.93
85,GDAX131000G8.EX,2018-04-27,2018-07-20,CALL,13100.0,82.2,11.78
86,GDAX131000S8.EX,2018-04-27,2018-07-20,PUT ,13100.0,676.1,11.8
87,GDAX131500G8.EX,2018-04-24,2018-07-20,CALL,13150.0,71.3,11.66
88,GDAX131500S8.EX,2018-04-27,2018-07-20,PUT ,13150.0,715.2,11.68
89,GDAX132000G8.EX,2018-04-26,2018-07-20,CALL,13200.0,61.7,11.55
90,GDAX132000S8.EX,2018-04-27,2018-07-20,PUT ,13200.0,755.6,11.56
91,GDAX132500G8.EX,2018-04-26,2018-07-20,CALL,13250.0,53.3,11.44
92,GDAX132500S8.EX,2018-04-25,2018-07-20,PUT ,13250.0,797.3,11.46
93,GDAX133000G8.EX,2018-04-27,2018-07-20,CALL,13300.0,46.0,11.35
94,GDAX133000S8.EX,2018-04-25,2018-07-20,PUT ,13300.0,840.1,11.37
95,GDAX133500G8.EX,2018-04-27,2018-07-20,CALL,13350.0,39.5,11.27
96,GDAX133500S8.EX,2018-04-27,2018-07-20,PUT ,13350.0,883.7,11.3
97,GDAX134000G8.EX,2018-04-27,2018-07-20,CALL,13400.0,34.0,11.18
98,GDAX134000S8.EX,2018-04-27,2018-07-20,PUT ,13400.0,928.2,11.21
99,GDAX134500G8.EX,2018-04-26,2018-07-20,CALL,13450.0,29.0,11.13
100,GDAX134500S8.EX,2018-04-27,2018-07-20,PUT ,13450.0,973.2,11.16
101,GDAX135000G8.EX,2018-04-27,2018-07-20,CALL,13500.0,24.7,11.09
102,GDAX135000S8.EX,2018-04-27,2018-07-20,PUT ,13500.0,1018.9,11.13
103,GDAX135500G8.EX,2018-04-27,2018-07-20,CALL,13550.0,20.9,11.09
104,GDAX135500S8.EX,2018-04-27,2018-07-20,PUT ,13550.0,1065.2,11.11
105,GDAX136000G8.EX,2018-04-26,2018-07-20,CALL,13600.0,17.7,11.07
106,GDAX136000S8.EX,2018-04-27,2018-07-20,PUT ,13600.0,1112.1,11.12
107,GDAX136500G8.EX,2018-04-27,2018-07-20,CALL,13650.0,15.0,11.1
108,GDAX136500S8.EX,2018-04-27,2018-07-20,PUT ,13650.0,1159.4,11.14
109,GDAX137000G8.EX,2018-04-27,2018-07-20,CALL,13700.0,12.7,11.12
110,GDAX137000S8.EX,2018-04-27,2018-07-20,PUT ,13700.0,1207.1,11.17
111,GDAX137500G8.EX,2018-04-27,2018-07-20,CALL,13750.0,10.7,11.17
112,GDAX137500S8.EX,2018-04-27,2018-07-20,PUT ,13750.0,1255.2,11.22
113,GDAX138000G8.EX,2018-04-27,2018-07-20,CALL,13800.0,9.1,11.23
114,GDAX138000S8.EX,2018-04-27,2018-07-20,PUT ,13800.0,1303.7,11.29
